Run Number,Execution Time (s),Summary
1,4.532444000244141,414 passed in 4.31s
2,4.393007278442383,414 passed in 4.26s
3,4.383206844329834,414 passed in 4.25s
4,4.410465955734253,414 passed in 4.28s
5,4.417042016983032,414 passed in 4.29s
