commit,sev_high,sev_med,sev_low,conf_high,conf_med,conf_low,cwe
d90030c1e242d1e954a097c253734122eec926e3,0,1,2921,2861,61,0,"703,259,78,330,605"
3639fb00be3acad3618f97c56859e221f7fba4a7,0,1,2921,2861,61,0,"703,259,78,330,605"
7eabff43de6717a366c79ec92b808da988c085a3,0,1,2921,2861,61,0,"703,259,78,330,605"
a27fb4764bc6aed6c4a46d4b600af568dbc1aa65,0,1,2922,2862,61,0,"703,259,78,330,605"
7710a3480003518f48dc86cf29e8f19b5a4e5e46,0,1,2922,2862,61,0,"703,259,78,330,605"
63208321785d6d11b72f4819fd7d154f14676d3a,0,1,2922,2862,61,0,"703,259,78,330,605"
26f27982ac6cf1930ae2db223a2dd35a7a8a9349,0,1,2922,2862,61,0,"703,259,78,330,605"
d974fbdda06c606ee49c3d440d61a4018d249383,0,1,2922,2862,61,0,"703,259,78,330,605"
ccc7c8fef9eaab9d74ad142c50847be7e38e250a,0,1,2922,2862,61,0,"703,259,78,330,605"
b0215699137c41a96c57f650640cb9db1c25314a,0,1,2922,2862,61,0,"703,259,78,330,605"
48676b4f112b7500721bdc239719dd89e3787c82,0,1,2922,2862,61,0,"703,259,78,330,605"
b1102e2388e36d0b4a3c75c2d5a89656c3e55970,0,1,2922,2862,61,0,"703,259,78,330,605"
31920eff623a49ab177ba29f8f795e69b4cbb7cf,0,1,2922,2862,61,0,"703,259,78,330,605"
4516a48c7cd068897ee45c715a5d2aacd692b4e8,0,1,2922,2862,61,0,"703,259,78,330,605"
f8878f3a98057c6ab6161d2577fab49087ba7015,0,1,2922,2862,61,0,"703,259,78,330,605"
5c8fa58fd06d6d6bb4ae9fe7ef95894bdc94d4fc,0,1,2922,2862,61,0,"703,259,78,330,605"
987d2f9a92bcb8f453a41d7e3230e00cb9a8d8db,0,1,2922,2862,61,0,"703,259,78,330,605"
920110276a551ca20fb6a9a8a190d242b28a5151,0,1,2922,2862,61,0,"703,259,78,330,605"
b397ad9e52a8606e4ea1233f6f66bfd221c0e79b,0,1,2922,2862,61,0,"703,259,78,330,605"
498ba94bfc11f7bb91844162b34fa4ccb4d9f07b,0,1,2922,2862,61,0,"703,259,78,330,605"
6ebe7539080531008a9752e8e050b099eef23885,0,1,2922,2862,61,0,"703,259,78,330,605"
3aee64b94f008c141cc8205ef3ccebf3978588dd,0,1,2922,2862,61,0,"703,259,78,330,605"
001473ab66dfae4f56365c61d50432dad5bbb2fe,0,1,2922,2862,61,0,"703,259,78,330,605"
8c9c536c0a277125ca95c0d9ef19e2c6a39d1db8,0,1,2922,2862,61,0,"703,259,78,330,605"
70137c0f7d9534b30ef4ec39f3cea471ade9e567,0,1,2922,2862,61,0,"703,259,78,330,605"
