commit,sev_high,sev_med,sev_low,conf_high,conf_med,conf_low,cwe
c4e2604fdd1e00a4de67ed3046524c91eb30ef89,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
dfb52e203c153dbb0c227ae8fb42fe3315f4864f,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
f8e332104dd4827da559a39d06d7849b9ed3f77d,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
46e46168e092ccfcb9f6a46b77bf7813d868262b,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
b08f7629dd61daf13a1797e39be75dd3a3a9cb94,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
1946182ab6547e4fca4a2e3814d362b1776412cd,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
f75f48926773f39798b85b6b5499e84c5e9e53b1,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
ff0149f3473078e5e287576a1c3a033081f5caa9,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
444ce8382f0cd54ad2478146923a68f3e737933d,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
a9c610f5c76be615e1e787c3da615c64486d3a7b,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
91e9313a727fa3bd56a72dc6f035c6ed86d9d1e2,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
65f6eb54aa0e8bb44cea35deea28e0e8fecc25b9,3,26,2876,2899,4,2,"20,502,78,22,732,330,89,259,400,703"
8413aac1c3759d3b931cfa39736f3f09be957867,3,26,2869,2892,4,2,"20,502,78,22,732,330,89,259,400,703"
8235fdb7ef9f37255bd3de92807874d9e8f362a3,3,26,2869,2892,4,2,"20,502,78,22,732,330,89,259,400,703"
80d6b48813749a64c2fa384631402562057acbe1,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
80061e03f2cfd9bb1ceed3a701a89b477c9a9c3c,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
13c2d443b51d6f6e7e413c4fc38b8aca529e2d02,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
a953002116c9ba1ce477e7279d5c2ae2c27b5223,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
97e5e179b5b1d617b8a5a4b31a316bde4eca79bf,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
1f4196f1b485e3144f2197b6fe654cb4548bfa4a,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
59738d77689a8374578fb3c90ce4fdf0e7272587,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
d4422cc24a56dc7132ddc3fd6b285c5edbd60b8c,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
6e8635d91c0d5a1b83db28afa54b7193ba9fec19,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
16a121d7821a7691815a966270f577e2c503473f,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
afe875a8068a6b1971b309463cc304086c438cbf,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
3822805859891d8063c8778b0f54535da5a6eefb,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
74b0dd32cd55360c2d1d29f5afaa68e0cf5cf086,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
d72e9a49fe4dc47b66ee100aa8a7e7f34e8aaf51,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
72740837187f9f15cb40f5a6aeb4cb65b22c8259,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
d305e437e84e6a4777ad2f97ee6a7cac659b5710,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
cdb1d32c5ed026eff8aec5b7068b8f0af07b82cd,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
e4ab1f7f64070c5580d8a77879e5aa7d425190c9,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
0d4c4dfaf0190669137e612bec93889bf0e7c1ff,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
2a6b7c9ef9fb3703b7e0c0ad5bf1e76dc84fbfdc,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
679562d0465f75b4079c477daf600945d431d09f,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
46c39d880e1b4eb4981f60e593d2f1feacb9c351,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
e450bd3d5e61e25e58c54908b64a27e68f78391c,3,26,2844,2867,4,2,"20,502,78,22,732,330,89,259,400,703"
e9ec56c8098e3be5fbf1cf7b0d64c9f002c2dd7e,3,26,2842,2865,4,2,"20,502,78,22,732,330,89,259,400,703"
548d2d2a7ed3689a8c2e10e378559d47ca2d40e7,3,26,2842,2865,4,2,"20,502,78,22,732,330,89,259,400,703"
b032702dd27ec985113b72b9ff266760d82e788c,3,26,2842,2865,4,2,"20,502,78,22,732,330,89,259,400,703"
2eb4edb97e1a6af2ea62738ec58afbd3812fc66e,3,26,2842,2865,4,2,"20,502,78,22,732,330,89,259,400,703"
13f18e3339e8e4c8d6205e9d0a93f41b9ed39f37,3,26,2840,2863,4,2,"20,502,78,22,732,330,89,259,400,703"
d70c9020868cbda7d51fc5662026626f565b06cb,3,26,2840,2863,4,2,"20,502,78,22,732,330,89,259,400,703"
43b1fe11cb31ebd331bec5875ae32240b4d07712,3,26,2840,2863,4,2,"20,502,78,22,732,330,89,259,400,703"
e4bba5e44120a4f02c725e3fb789454065c9e087,3,26,2840,2863,4,2,"20,502,78,22,732,330,89,259,400,703"
3505ed964b343b3dd456f35c3ea43bec2064bd5d,3,26,2840,2863,4,2,"20,502,78,22,732,330,89,259,400,703"
ca58154bba185c1916ca5eea4e33b27258642044,3,26,2840,2863,4,2,"20,502,78,22,732,330,89,259,400,703"
be5cff059a2a5b89d7a97bc04739c4919ab8089f,3,26,2840,2863,4,2,"20,502,78,22,732,330,89,259,400,703"
e4c87a6bf57b3aa094c28895c5b89b91b3509c58,3,26,2840,2863,4,2,"20,502,78,22,732,330,89,259,400,703"
880a52cea337032d39e90e6f0dcc55198a75a285,3,26,2840,2863,4,2,"20,502,78,22,732,330,89,259,400,703"
88f646c418b408ace2494c02b9502f516a565e2b,3,26,2840,2863,4,2,"20,502,78,22,732,330,89,259,400,703"
3813ce846e52824b38e53895810682f0a496a2e3,3,26,2840,2863,4,2,"20,502,78,22,732,330,89,259,400,703"
cedffa52879ebc5e4df43f0bcf8660ee7229f0dc,3,26,2840,2863,4,2,"20,502,78,22,732,330,89,259,400,703"
28780197dd3e4c125defae29ac8ef5346c41350a,3,26,2840,2863,4,2,"20,502,78,22,732,330,89,259,400,703"
70bac27ef861b2b11f581a291a6b76adeee24f98,3,28,2853,2878,4,2,"20,502,78,22,732,330,89,259,400,703"
0a0fa48a68c3502edfa50273b881f909e4e6e70c,3,28,2853,2878,4,2,"20,502,78,22,732,330,89,259,400,703"
c3aaf2108e3fd77f92aed3b1dce0fd551daf9a0a,3,28,2853,2878,4,2,"20,502,78,22,732,330,89,259,400,703"
