commit,sev_high,sev_med,sev_low,conf_high,conf_med,conf_low,cwe
8003649c79369c914692dd0277fc37ac17828aa2,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
1d282a9346c0e7ffe595b65399b74cef492a5576,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
9223b2dacdba7885bc6d8a878572ba7f48b6fc0a,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
12be49963c1695e83dea059f2ab90750e5da5ca4,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
41e26a7f836576af3695f2045746d8bf7c996fb4,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
17c500461d7b14a24133d91bc6437af62914074c,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
150a1a318d2a09ad8269d91c594f4a2fd208a842,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
ff06328498373fded9eb326dd99dc36a51cd3c9b,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
8257e0a68cc1d192c6ae1392bce1ed3917119795,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
900a1262cd17aae7da176f02ad4ff4fef0b76ce2,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
40f490d9b0d102d3dea832fbabb300d18ab1ec87,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
100a423b66fee81e0a2915d5da934d7872f12c8c,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
b9019671f440d2f4204caacd10a34c862e18ed56,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
05e59bdec1a63b5bd70635fb33ab315b6e69fbfd,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
ab364c984b9fdace147fcde339ae4afccc31b642,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
b20fa8027732a471053b547938e2bb5ddd8a3811,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
8f9a4248e4536d450bf50767dd099443c7775e56,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
a5c1cb71381e750cb698e68df55871952424007d,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
098ce03f62d3488b46bcfad1682d6b6c0e82f6a8,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
ec331cbda7434f6c04c1c1c310dcb3948dcc5d3e,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
cf8933cacab6c74aa083526c1a27bdbff8e1ba33,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
bb27bf7868468058af4c2dccb62787d1fac8c470,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
dfdfbcf3d7d977a4e71075f65868d9f694434692,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
c5807f7776d9058609fa74fd404b5b2a5523bebd,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
3742ab493dbf4573c930a46aefc537b9127b4370,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
3ec95f9e3dfc7d563d037440237a4a69d9984fd4,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
be2b49fc895da7b121855993e0a65cad7146fabc,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
c0380fd85549c8b315bb1fb2f423f9297e9744ec,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
004037947f7b302550fd409851590a76e90a07ab,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
2b7bcf664b08eaf92fff2b1a9d3882e9c3bcb208,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
892e8a82633cf5348da9bab3e36315c4dcc8960e,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
60dde7f18b9b102ea4462ec1ec5ab42bc8287811,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
712de55a20cd584a12a4aebe96226c92f816dcf3,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
1bcd17ee6941f5e31e7a4939f6f1ab43b3815c7e,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
28e06aa3911ecf8bcfb9f13aa3be378e4ab62593,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
d1ea6b1efa3fe64f666205c4419b36af20780a86,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
331c39e3c3b829519727d592358d0bb42433d3b5,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
2f6b91ee8c038a59ac51fe1151e3defd6cd0f907,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
920c721ea77315291f987ea5b911be7fb619d134,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
b599ae42d9adb8bcb96a1de6ad093436aac9fe6b,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
4456c95352cbc47f1ebb132956b8412d5b9f4c37,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
22361691457f6c6f222829fd390772325da678c5,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
cf8b67b7e9b49bed087ef27b4847edd84c687c34,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
51dc1af6e82fbcc0bb2eccddc2148bbc0268695c,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
6c8f6933521ee32600b506970af1402ce02b443a,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
a3ddc1795e159699418c9f63403f4ad6a92f75aa,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
77aa0e61afebadf574f22b4473b0e283c546d7d9,12,31,214,250,3,4,"377,20,330,22,78,605,400,502,703"
